beam, SNR, width, DM, time
12, 4.79005, 27, 11.7064, 100
13, 2.54023, 6, 836.687, 100
14, 44.3498, 12, 906.023, 100
0, 4.21042, 6, 80.0456, 100
15, 16.7046, 63, 2876.82, 100
8, 22.1013, 9, 10.1438, 100
1, 15.9987, 90, 29.7733, 100
9, 71.1415, 15, 99.5821, 100
2, 12.5983, 3, 12.8169, 100
3, 25.3582, 3, 63.2745, 100
10, 35.5168, 18, 25.699, 100
11, 22.3925, 6, 54.9382, 100
4, 16.6268, 3, 3021.99, 100
5, 10.5259, 51, 2437.19, 100
6, 14.048, 18, 3719.28, 100
7, 77.5946, 18, 400.191, 100
