beam, SNR, width, DM, time
0, 20, 3, 10, 100
1, 20, 3, 100, 100
2, 20, 3, 1000, 100
3, 20, 3, 5000, 100
12, 40, 90, 10, 100
8, 80, 90, 10, 100
13, 40, 90, 100, 100
9, 20, 90, 100, 100
14, 40, 90, 1000, 100
10, 20, 90, 1000, 100
15, 40, 90, 5000, 100
4, 20, 9, 10, 100
11, 20, 90, 5000, 100
5, 20, 9, 100, 100
6, 20, 9, 1000, 100
7, 20, 9, 5000, 100
