beam, SNR, width, DM, time
0, 11.0413, 90, 28.0953, 100
1, 68.3124, 12, 56.7893, 100
12, 63.3258, 12, 3411.1, 100
2, 18.9546, 30, 2768.17, 100
13, 114.438, 3, 4005.57, 100
3, 7.75658, 21, 13.0755, 100
4, 14.4703, 3, 115.312, 100
14, 14.6497, 72, 15.5987, 100
5, 34.6269, 6, 59.7927, 100
15, 103.717, 72, 70.2068, 100
6, 11.4558, 24, 42.0292, 100
7, 43.3063, 3, 2418.27, 100
8, 10.0255, 3, 868.274, 100
9, 52.521, 51, 762.726, 100
10, 22.8278, 36, 1746.06, 100
11, 49.0222, 6, 59.9713, 100
